date,total_cases,new_cases,total_deaths,new_deaths,stringency_index
1/1/2020,0,0,0,0,0
2/1/2020,0,0,0,0,13.89
3/1/2020,0,0,0,0,13.89
4/1/2020,0,0,0,0,13.89
5/1/2020,0,0,0,0,13.89
6/1/2020,0,0,0,0,13.89
7/1/2020,0,0,0,0,13.89
8/1/2020,0,0,0,0,13.89
9/1/2020,0,0,0,0,13.89
10/1/2020,0,0,0,0,13.89
11/1/2020,0,0,0,0,13.89
12/1/2020,0,0,0,0,13.89
13/1/2020,0,0,0,0,13.89
14/1/2020,0,0,0,0,13.89
15/1/2020,0,0,0,0,13.89
16/1/2020,0,0,0,0,13.89
17/1/2020,0,0,0,0,13.89
18/1/2020,0,0,0,0,13.89
19/1/2020,0,0,0,0,13.89
20/1/2020,0,0,0,0,13.89
21/1/2020,0,0,0,0,13.89
22/1/2020,0,0,0,0,13.89
23/1/2020,0,0,0,0,19.44
24/1/2020,3,3,0,0,19.44
25/1/2020,3,0,0,0,19.44
26/1/2020,4,1,0,0,19.44
27/1/2020,4,0,0,0,19.44
28/1/2020,5,1,0,0,19.44
29/1/2020,7,2,0,0,19.44
30/1/2020,10,3,0,0,19.44
31/1/2020,13,3,0,0,19.44
1/2/2020,16,3,0,0,19.44
2/2/2020,18,2,0,0,19.44
3/2/2020,18,0,0,0,19.44
4/2/2020,18,0,0,0,19.44
5/2/2020,24,6,0,0,19.44
6/2/2020,28,4,0,0,19.44
7/2/2020,30,2,0,0,25
8/2/2020,33,3,0,0,25
9/2/2020,40,7,0,0,25
10/2/2020,43,3,0,0,25
11/2/2020,45,2,0,0,25
12/2/2020,47,2,0,0,25
13/2/2020,50,3,0,0,25
14/2/2020,58,8,0,0,25
15/2/2020,67,9,0,0,25
16/2/2020,72,5,0,0,25
17/2/2020,75,3,0,0,25
18/2/2020,77,2,0,0,25
19/2/2020,81,4,0,0,25
20/2/2020,84,3,0,0,25
21/2/2020,85,1,0,0,25
22/2/2020,86,1,0,0,25
23/2/2020,89,3,0,0,25
24/2/2020,89,0,0,0,25
25/2/2020,90,1,0,0,25
26/2/2020,91,1,0,0,25
27/2/2020,93,2,0,0,25
28/2/2020,96,3,0,0,25
29/2/2020,98,2,0,0,25
1/3/2020,102,4,0,0,25
2/3/2020,106,4,0,0,25
3/3/2020,108,2,0,0,25
4/3/2020,110,2,0,0,25
5/3/2020,112,2,0,0,25
6/3/2020,117,5,0,0,25
7/3/2020,130,13,0,0,25
8/3/2020,138,8,0,0,25
9/3/2020,150,12,0,0,25
10/3/2020,160,10,0,0,25
11/3/2020,166,6,0,0,25
12/3/2020,178,12,0,0,25
13/3/2020,187,9,0,0,36.11
14/3/2020,200,13,0,0,36.11
15/3/2020,214,14,0,0,36.11
16/3/2020,226,12,0,0,36.11
17/3/2020,243,17,0,0,36.11
18/3/2020,266,23,0,0,36.11
19/3/2020,313,47,0,0,36.11
20/3/2020,345,32,0,0,36.11
21/3/2020,385,40,0,0,36.11
22/3/2020,432,47,2,2,36.11
23/3/2020,455,23,2,0,36.11
24/3/2020,509,54,2,0,36.11
25/3/2020,558,49,2,0,36.11
26/3/2020,568,10,2,0,36.11
27/3/2020,594,26,2,0,38.89
28/3/2020,732,138,2,0,38.89
29/3/2020,803,71,3,1,38.89
30/3/2020,844,41,3,0,38.89
31/3/2020,844,0,3,0,38.89
1/4/2020,879,35,3,0,38.89
2/4/2020,1000,121,4,1,38.89
3/4/2020,1049,49,5,1,48.15
4/4/2020,1114,65,5,0,48.15
5/4/2020,1189,75,6,1,48.15
6/4/2020,1309,120,6,0,48.15
7/4/2020,1375,66,6,0,59.26
8/4/2020,1481,106,6,0,82.41
9/4/2020,1623,142,6,0,82.41
10/4/2020,1909,286,6,0,79.63
11/4/2020,1909,0,6,0,79.63
12/4/2020,2299,390,8,2,79.63
13/4/2020,2532,233,8,0,79.63
14/4/2020,2918,386,9,1,85.19
15/4/2020,3252,334,10,1,85.19
16/4/2020,3699,447,10,0,85.19
17/4/2020,4427,728,10,0,85.19
18/4/2020,5050,623,11,1,85.19
19/4/2020,5992,942,11,0,85.19
20/4/2020,6588,596,11,0,85.19
21/4/2020,8014,1426,11,0,85.19
22/4/2020,9125,1111,11,0,85.19
23/4/2020,10141,1016,12,1,85.19
24/4/2020,11178,1037,12,0,85.19
25/4/2020,12075,897,12,0,85.19
26/4/2020,12693,618,12,0,85.19
27/4/2020,13624,931,12,0,85.19
28/4/2020,14423,799,14,2,85.19
29/4/2020,14951,528,14,0,85.19
30/4/2020,15641,690,14,0,85.19
1/5/2020,16169,528,15,1,85.19
2/5/2020,17101,932,16,1,85.19
3/5/2020,17548,447,17,1,85.19
4/5/2020,18205,657,18,1,85.19
5/5/2020,18778,573,18,0,85.19
6/5/2020,19410,632,18,0,85.19
7/5/2020,20198,788,20,2,85.19
8/5/2020,20939,741,20,0,85.19
9/5/2020,21707,768,20,0,85.19
10/5/2020,22460,753,20,0,85.19
11/5/2020,23336,876,20,0,85.19
12/5/2020,23787,451,21,1,81.48
13/5/2020,24671,884,21,0,81.48
14/5/2020,25346,675,21,0,81.48
15/5/2020,26098,752,21,0,81.48
16/5/2020,26891,793,21,0,81.48
17/5/2020,27356,465,22,1,81.48
18/5/2020,28038,682,22,0,81.48
19/5/2020,28343,305,22,0,81.48
20/5/2020,28794,451,22,0,81.48
21/5/2020,29364,570,22,0,81.48
22/5/2020,29812,448,23,1,81.48
23/5/2020,30426,614,23,0,81.48
24/5/2020,31068,642,23,0,81.48
25/5/2020,31616,548,23,0,81.48
26/5/2020,31960,344,23,0,81.48
27/5/2020,32343,383,23,0,81.48
28/5/2020,32876,533,23,0,81.48
29/5/2020,33249,373,23,0,81.48
30/5/2020,33860,611,23,0,81.48
31/5/2020,34366,506,23,0,81.48
1/6/2020,34884,518,23,0,81.48
2/6/2020,35292,408,24,1,77.78
3/6/2020,35836,544,24,0,77.78
4/6/2020,36405,569,24,0,77.78
5/6/2020,36922,517,24,0,77.78
6/6/2020,37183,261,24,0,77.78
7/6/2020,37527,344,25,1,77.78
8/6/2020,37910,383,25,0,77.78
9/6/2020,38296,386,25,0,77.78
10/6/2020,38514,218,25,0,77.78
11/6/2020,38965,451,25,0,77.78
12/6/2020,39387,422,25,0,77.78
13/6/2020,39850,463,25,0,77.78
14/6/2020,40197,347,26,1,77.78
15/6/2020,40604,407,26,0,77.78
16/6/2020,40818,214,26,0,77.78
17/6/2020,40969,151,26,0,77.78
18/6/2020,41216,247,26,0,77.78
19/6/2020,41473,257,26,0,53.7
20/6/2020,41615,142,26,0,53.7
21/6/2020,41833,218,26,0,53.7
22/6/2020,42095,262,26,0,0
23/6/2020,42313,218,26,0,0
24/6/2020,42432,119,26,0,0
25/6/2020,42623,191,26,0,0
26/6/2020,42736,113,26,0,0
27/6/2020,42955,219,26,0,0
28/6/2020,43246,291,26,0,0
29/6/2020,43459,213,26,0,0
30/6/2020,43661,202,26,0,0
